timestamp,client_ip,request_method,endpoint,response_code,response_size,response_time_ms,user_agent,referer
2025-11-13 18:57:21.129368,192.168.1.19,GET,/,200,2064,42.57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",https://google.com
2025-11-13 18:57:24.129368,192.168.1.104,GET,/admin,200,7728,1012.39,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),
2025-11-13 18:57:43.129368,192.168.1.71,GET,/api/users,200,932,323.8,PostmanRuntime/7.26.5,
2025-11-13 18:57:49.129368,192.168.1.151,GET,/static/js/app.js,200,20209,37.11,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),
2025-11-13 18:58:40.129368,192.168.1.186,GET,/api/search,200,960,2174.28,curl/7.68.0,https://direct.com
2025-11-13 18:58:43.129368,192.168.1.116,GET,/static/css/style.css,200,31529,49.14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",https://example.com
2025-11-13 18:58:51.129368,192.168.1.126,GET,/static/images/logo.png,200,29730,55.7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",https://example.com
2025-11-13 18:58:58.129368,192.168.1.153,GET,/static/css/style.css,200,28975,41.44,curl/7.68.0,https://example.com
2025-11-13 18:59:02.129368,192.168.1.112,GET,/api/products,200,1720,298.36,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),https://google.com
2025-11-13 18:59:07.129368,192.168.1.33,GET,/api/products,200,351,485.15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",https://example.com
2025-11-13 18:59:15.129368,192.168.1.19,GET,/static/js/app.js,200,19457,32.69,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",https://google.com
2025-11-13 19:00:04.129368,192.168.1.22,GET,/static/css/style.css,200,34558,36.54,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),https://direct.com
2025-11-13 19:00:54.129368,192.168.1.154,GET,/,200,6224,60.87,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",https://google.com
2025-11-13 19:00:59.129368,192.168.1.168,GET,/static/js/app.js,200,6547,44.94,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",https://direct.com
2025-11-13 19:01:01.129368,192.168.1.102,GET,/static/js/app.js,200,35916,62.48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",
2025-11-13 19:01:35.129368,192.168.1.70,GET,/,200,5310,43.31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",https://example.com
2025-11-13 19:03:51.129368,192.168.1.24,GET,/static/images/logo.png,200,38086,64.75,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",https://example.com
2025-11-13 19:04:59.129368,192.168.1.85,GET,/api/users,200,233,428.15,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),https://direct.com
2025-11-13 19:05:09.129368,192.168.1.98,GET,/api/users,200,1569,3126.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",
2025-11-13 19:05:45.129368,192.168.1.63,GET,/api/users,200,610,289.23,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,https://example.com
2025-11-13 19:06:09.129368,192.168.1.99,GET,/,200,4372,47.43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",https://direct.com
2025-11-13 19:07:14.129368,192.168.1.237,GET,/api/search,401,1335,894.02,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),
2025-11-13 19:09:07.129368,192.168.1.160,GET,/static/images/logo.png,200,7735,42.11,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,https://direct.com
