timestamp,server_id,cpu_usage,memory_usage,disk_io,network_traffic,request_count,error_rate,response_time_ms
2024-01-01 00:00:00,web_server_1,7.31,45.99,65.16,0.0,151,0.72,71.83
2024-01-01 00:01:00,web_server_1,11.11,47.72,56.81,0.76,119,0.87,57.73
2024-01-01 00:02:00,web_server_1,10.32,48.14,69.19,5.82,125,1.08,57.07
2024-01-01 00:03:00,web_server_1,3.95,45.64,69.07,4.11,178,0.66,73.79
2024-01-01 00:04:00,web_server_1,0.0,46.39,53.48,1.47,132,0.17,54.57
2024-01-01 00:05:00,web_server_1,4.61,50.06,73.75,0.0,127,0.47,31.23
2024-01-01 00:06:00,web_server_1,5.35,47.95,55.51,9.01,125,0.82,66.02
2024-01-01 00:07:00,web_server_1,0.0,53.66,69.98,7.53,140,0.72,74.14
2024-01-01 00:08:00,web_server_1,4.46,51.98,39.69,6.35,161,0.72,58.56
2024-01-01 00:09:00,web_server_1,1.94,53.45,65.03,5.06,116,0.49,67.69
2024-01-01 00:10:00,web_server_1,10.47,47.45,49.38,9.77,141,1.04,73.28
2024-01-01 00:11:00,web_server_1,0.0,47.79,60.61,4.13,147,0.49,42.83
2024-01-01 00:12:00,web_server_1,10.03,49.48,41.23,2.35,147,0.9,59.3
2024-01-01 00:13:00,web_server_1,9.7,55.4,51.1,4.26,126,0.73,72.52
2024-01-01 00:14:00,web_server_1,0.0,53.06,62.75,7.54,163,0.54,65.23
2024-01-01 00:15:00,web_server_1,10.84,50.33,49.89,8.57,127,1.06,50.79
2024-01-01 00:16:00,web_server_1,5.43,49.7,47.99,1.86,126,0.43,32.99
2024-01-01 00:17:00,web_server_1,1.13,46.22,74.33,2.76,148,0.46,45.75
2024-01-01 00:18:00,web_server_1,1.15,56.86,68.73,6.54,155,0.51,54.77
2024-01-01 00:19:00,web_server_1,14.1,52.53,61.88,2.22,140,0.8,55.93
2024-01-01 00:20:00,web_server_1,7.26,51.38,67.44,0.0,147,0.96,40.21
2024-01-01 00:21:00,web_server_1,8.74,50.9,62.26,16.08,133,0.57,62.21
2024-01-01 00:22:00,web_server_1,2.74,50.21,62.28,0.54,186,0.7,67.62
2024-01-01 00:23:00,web_server_1,13.65,47.01,46.6,6.08,102,0.5,51.92
2024-01-01 00:24:00,web_server_1,0.85,47.46,44.9,2.0,127,0.17,63.91
2024-01-01 00:25:00,web_server_1,1.57,47.71,55.34,4.36,144,0.37,50.76
2024-01-01 00:26:00,web_server_1,1.43,50.49,62.48,5.79,157,0.61,58.36
2024-01-01 00:27:00,web_server_1,6.4,47.56,58.38,5.83,106,0.84,58.1
2024-01-01 00:28:00,web_server_1,2.01,46.3,67.54,7.42,161,0.7,42.91
2024-01-01 00:29:00,web_server_1,0.0,53.71,61.72,1.12,129,0.51,53.43
2024-01-01 00:30:00,web_server_1,6.99,47.84,61.18,0.0,127,0.49,44.73
2024-01-01 00:31:00,web_server_1,10.75,46.59,62.36,4.25,113,1.27,64.87
2024-01-01 00:32:00,web_server_1,7.83,54.63,55.97,0.0,115,0.68,48.39
2024-01-01 00:33:00,web_server_1,8.2,51.78,64.36,3.51,149,0.32,49.34
2024-01-01 00:34:00,web_server_1,3.31,54.44,35.15,0.66,127,0.56,58.01
2024-01-01 00:35:00,web_server_1,10.5,51.0,46.98,14.2,150,0.66,45.02
2024-01-01 00:36:00,web_server_1,0.0,49.97,59.66,5.76,137,0.69,42.28
2024-01-01 00:37:00,web_server_1,2.76,52.64,42.99,3.32,154,0.59,55.84
2024-01-01 00:38:00,web_server_1,2.97,52.5,65.55,0.0,129,0.41,46.54
2024-01-01 00:39:00,web_server_1,0.0,52.32,52.75,2.74,149,0.81,56.96
2024-01-01 00:40:00,web_server_1,1.85,53.04,33.13,6.47,117,0.36,70.27
2024-01-01 00:41:00,web_server_1,0.56,52.66,54.72,0.64,114,0.66,56.97
2024-01-01 00:42:00,web_server_1,2.78,46.83,54.98,3.23,129,0.47,49.28
2024-01-01 00:43:00,web_server_1,1.1,49.55,45.92,0.0,141,0.51,51.94
2024-01-01 00:44:00,web_server_1,1.69,54.06,50.14,3.48,114,0.96,41.53
2024-01-01 00:45:00,web_server_1,4.47,49.55,45.1,6.42,119,0.38,71.37
2024-01-01 00:46:00,web_server_1,9.47,48.17,69.39,7.95,126,0.57,59.63
2024-01-01 00:47:00,web_server_1,1.65,53.09,71.03,8.27,158,0.49,58.65
2024-01-01 00:48:00,web_server_1,2.43,47.74,66.26,6.48,112,0.8,50.7
2024-01-01 00:49:00,web_server_1,0.0,45.09,62.7,2.21,105,0.11,57.48
2024-01-01 00:50:00,web_server_1,0.0,50.85,48.72,5.78,114,0.39,27.55
2024-01-01 00:51:00,web_server_1,0.24,46.41,51.21,6.28,113,0.96,47.0
2024-01-01 00:52:00,web_server_1,4.41,51.24,60.48,4.05,111,0.48,31.34
2024-01-01 00:53:00,web_server_1,6.45,45.36,46.65,2.37,132,0.31,56.17
2024-01-01 00:54:00,web_server_1,0.0,49.85,61.72,7.67,139,0.33,37.45
2024-01-01 00:55:00,web_server_1,3.08,48.17,55.38,0.82,114,0.28,61.77
2024-01-01 00:56:00,web_server_1,4.28,50.0,54.33,11.57,127,0.63,64.06
2024-01-01 00:57:00,web_server_1,3.15,53.43,50.08,6.95,117,0.0,49.21
2024-01-01 00:58:00,web_server_1,0.0,51.81,61.52,18.24,106,0.57,49.67
2024-01-01 00:59:00,web_server_1,9.71,45.31,62.18,14.86,125,0.58,60.73
2024-01-01 01:00:00,web_server_1,10.01,54.08,56.76,2.76,122,0.51,43.16
2024-01-01 01:01:00,web_server_1,8.75,50.58,63.12,4.34,105,0.69,54.77
2024-01-01 01:02:00,web_server_1,2.62,52.89,59.76,7.83,87,0.47,44.62
2024-01-01 01:03:00,web_server_1,1.32,49.79,53.26,6.07,164,0.61,52.19
2024-01-01 01:04:00,web_server_1,3.48,51.82,62.78,0.0,142,0.46,50.19
2024-01-01 01:05:00,web_server_1,2.14,46.09,55.27,5.81,71,0.84,45.49
2024-01-01 01:06:00,web_server_1,0.08,55.15,52.7,1.33,128,0.1,45.6
2024-01-01 01:07:00,web_server_1,2.47,43.87,52.53,0.0,141,0.26,45.51
2024-01-01 01:08:00,web_server_1,5.15,48.21,50.77,3.16,84,0.98,65.2
2024-01-01 01:09:00,web_server_1,5.05,49.59,53.37,2.16,106,0.57,41.89
2024-01-01 01:10:00,web_server_1,0.0,50.17,65.41,5.32,144,0.43,37.31
2024-01-01 01:11:00,web_server_1,0.44,52.07,57.21,8.1,124,0.45,55.59
2024-01-01 01:12:00,web_server_1,0.0,48.57,61.98,10.35,72,0.42,46.91
2024-01-01 01:13:00,web_server_1,2.23,47.21,58.85,3.16,102,0.8,60.59
2024-01-01 01:14:00,web_server_1,9.36,50.45,43.95,4.63,80,0.37,49.37
2024-01-01 01:15:00,web_server_1,2.68,52.31,36.17,0.0,124,0.52,59.81
2024-01-01 01:16:00,web_server_1,3.73,47.64,49.78,7.45,100,0.07,31.64
2024-01-01 01:17:00,web_server_1,0.0,46.73,63.48,8.18,136,0.54,48.49
2024-01-01 01:18:00,web_server_1,3.39,48.05,54.29,7.46,119,0.51,44.75
2024-01-01 01:19:00,web_server_1,4.39,42.49,60.68,0.0,121,0.91,46.53
2024-01-01 01:20:00,web_server_1,0.0,46.41,28.41,0.0,141,0.3,50.95
2024-01-01 01:21:00,web_server_1,3.21,47.87,46.62,3.37,106,0.4,56.92
2024-01-01 01:22:00,web_server_1,0.0,50.59,59.49,3.56,132,0.24,45.29
2024-01-01 01:23:00,web_server_1,11.27,51.5,51.91,0.0,163,0.95,49.72
2024-01-01 01:24:00,web_server_1,1.95,51.43,58.53,3.91,77,0.39,40.07
2024-01-01 01:25:00,web_server_1,7.28,45.28,36.91,0.0,144,0.68,39.9
2024-01-01 01:26:00,web_server_1,0.0,49.83,50.86,1.88,136,0.36,29.43
2024-01-01 01:27:00,web_server_1,0.0,51.74,50.63,0.0,93,0.29,31.25
2024-01-01 01:28:00,web_server_1,8.83,54.61,44.33,5.24,94,0.81,39.2
2024-01-01 01:29:00,web_server_1,15.27,46.3,45.28,0.0,140,0.89,53.54
2024-01-01 01:30:00,web_server_1,3.33,50.26,49.11,5.29,100,0.69,42.94
2024-01-01 01:31:00,web_server_1,0.0,48.69,35.96,9.45,109,0.56,39.87
2024-01-01 01:32:00,web_server_1,0.0,51.9,58.04,2.83,119,0.87,35.87
2024-01-01 01:33:00,web_server_1,5.53,47.88,43.81,0.0,84,0.18,38.28
2024-01-01 01:34:00,web_server_1,8.2,46.92,65.83,12.8,121,0.77,63.42
2024-01-01 01:35:00,web_server_1,6.17,51.17,46.38,5.06,132,0.87,34.69
2024-01-01 01:36:00,web_server_1,0.0,49.09,59.41,6.19,115,0.43,39.29
2024-01-01 01:37:00,web_server_1,0.0,45.6,50.57,11.57,109,0.56,36.42
2024-01-01 01:38:00,web_server_1,8.4,53.21,59.79,4.57,88,0.49,52.0
2024-01-01 01:39:00,web_server_1,0.0,51.75,59.82,0.0,120,0.61,58.26
2024-01-01 01:40:00,web_server_1,8.32,48.02,66.2,10.14,138,0.67,47.58
2024-01-01 01:41:00,web_server_1,0.43,50.28,64.49,7.36,129,0.42,55.67
2024-01-01 01:42:00,web_server_1,0.0,43.23,35.16,12.36,99,0.24,55.89
2024-01-01 01:43:00,web_server_1,5.02,53.32,62.68,3.54,104,0.71,43.53
2024-01-01 01:44:00,web_server_1,0.0,53.45,69.48,6.95,100,0.42,77.97
2024-01-01 01:45:00,web_server_1,0.0,49.94,49.78,0.0,93,0.59,46.22
2024-01-01 01:46:00,web_server_1,2.89,45.83,50.57,1.94,127,0.74,64.0
2024-01-01 01:47:00,web_server_1,0.0,44.92,55.41,0.0,121,0.63,22.91
2024-01-01 01:48:00,web_server_1,0.0,48.42,45.0,0.61,110,0.57,74.98
2024-01-01 01:49:00,web_server_1,2.81,51.01,46.3,4.96,114,0.61,45.0
2024-01-01 01:50:00,web_server_1,8.9,49.93,59.0,0.0,88,0.89,56.4
2024-01-01 01:51:00,web_server_1,0.0,48.21,45.73,0.0,97,0.26,42.42
2024-01-01 01:52:00,web_server_1,0.0,52.51,56.69,0.35,99,0.55,52.7
2024-01-01 01:53:00,web_server_1,3.34,44.3,26.44,5.76,97,0.78,51.27
2024-01-01 01:54:00,web_server_1,2.98,50.12,59.47,0.0,78,0.7,40.67
2024-01-01 01:55:00,web_server_1,2.13,41.57,49.16,6.52,101,0.51,57.83
2024-01-01 01:56:00,web_server_1,0.0,52.57,35.56,1.23,72,0.6,45.2
2024-01-01 01:57:00,web_server_1,6.03,45.68,43.85,0.0,105,0.68,53.24
2024-01-01 01:58:00,web_server_1,9.77,54.68,39.58,0.87,141,0.61,45.39
2024-01-01 01:59:00,web_server_1,0.0,50.52,61.73,2.04,105,0.34,61.82
2024-01-01 02:00:00,web_server_1,0.0,45.27,57.08,4.72,61,0.81,49.46
2024-01-01 02:01:00,web_server_1,0.0,53.01,46.92,0.0,105,0.62,52.32
2024-01-01 02:02:00,web_server_1,1.11,48.67,25.92,0.0,105,0.45,49.18
2024-01-01 02:03:00,web_server_1,14.49,50.54,40.5,0.24,88,1.03,69.53
2024-01-01 02:04:00,web_server_1,0.0,45.39,50.43,9.33,108,0.49,41.09
2024-01-01 02:05:00,web_server_1,0.0,52.83,39.07,0.0,88,0.66,54.0
2024-01-01 02:06:00,web_server_1,2.79,52.83,51.66,3.44,131,0.73,42.49
2024-01-01 02:07:00,web_server_1,0.65,49.86,41.51,6.28,96,0.61,47.69
2024-01-01 02:08:00,web_server_1,0.0,50.42,69.17,3.23,72,0.53,66.22
2024-01-01 02:09:00,web_server_1,0.0,55.64,40.25,0.0,103,0.6,52.63
2024-01-01 02:10:00,web_server_1,0.41,53.21,39.71,0.0,115,0.21,55.99
2024-01-01 02:11:00,web_server_1,1.03,46.35,33.85,4.19,104,0.4,43.67
2024-01-01 02:12:00,web_server_1,0.0,52.2,57.55,5.75,117,0.67,44.06
2024-01-01 02:13:00,web_server_1,8.46,47.19,42.81,0.0,96,0.62,60.63
2024-01-01 02:14:00,web_server_1,0.0,44.01,61.31,2.05,109,0.81,44.4
2024-01-01 02:15:00,web_server_1,1.22,48.87,60.42,8.29,87,0.0,61.53
2024-01-01 02:16:00,web_server_1,0.0,54.1,49.88,2.74,114,0.74,42.11
